team0,team0_prob,team1_prob,team1
Spacestation Gaming,63.98289231450367,36.01710768549633,Charlotte Phoenix
Kansas City Pioneers,41.24266911148009,58.75733088851991,Pittsburgh Knights
Susquehanna Soniqs,70.12584090321067,29.87415909678932,XSET
G2 Esports,66.65194589379836,33.348054106201644,Alpine Esports
NRG Esports,72.89108270399439,27.108917296005618,Version1
Team Envy,73.51340989836459,26.48659010163541,EUnited
Rogue,53.8124773293179,46.1875226706821,Omelette
The Peeps,57.8960221960463,42.1039778039537,Plot Twist
Charlotte Phoenix,30.75720437689175,69.24279562310825,Kansas City Pioneers
XSET,54.96776054416799,45.03223945583201,Alpine Esports
Version1,46.17063610675417,53.82936389324583,EUnited
Omelette,58.08859365002983,41.91140634997017,Plot Twist
Spacestation Gaming,79.79686577176022,20.203134228239783,Pittsburgh Knights
Susquehanna Soniqs,16.042250614840146,83.95774938515986,G2 Esports
NRG Esports,48.163883815143166,51.83611618485684,Team Envy
Rogue,40.61346050750213,59.38653949249786,The Peeps
