team,Make Playoffs,Make Semis,Make Final,Win Final
Spacestation Gaming,80.45,59.11,41.449999999999996,28.1
G2 Esports,84.22,60.46,40.17,25.22
Team Envy,81.45,52.300000000000004,29.720000000000002,14.399999999999999
NRG Esports,76.75999999999999,48.52,27.43,14.030000000000001
The Peeps,59.040000000000006,28.67,10.63,3.0300000000000002
Omelette,44.36,20.1,7.670000000000001,2.6
Rogue,49.830000000000005,22.21,8.110000000000001,2.4299999999999997
Susquehanna Soniqs,57.17,21.78,7.739999999999999,2.21
Plot Twist,38.05,14.21,5.26,1.7999999999999998
Alpine Esports,30.830000000000002,10.37,3.73,1.35
Charlotte Phoenix,32.71,11.49,3.61,1.16
Pittsburgh Knights,46.93,14.45,3.9,1.0
Kansas City Pioneers,41.38,12.55,3.58,0.88
EUnited,27.450000000000003,9.19,2.8000000000000003,0.69
Version1,23.06,6.72,2.16,0.58
XSET,26.31,7.870000000000001,2.04,0.52
